,initial position of a,initial position of b,initial position of c,initial velocity of a,initial velocity of b,initial velocity of c,mass of a,mass of b,mass of c,final position of a,final position of b,final position of c,final velocity of a,final velocity of b,final velocity of c
74,0.3540370949157662,2.9959909254652137,3.1785740204302275,0.8650555403651734,0.19708553651229987,-0.9575318121557299,39711550020.96517,31305852706.86656,15156615819.176315,4.8984406176765045,4.721376587802305,4.868718862912446,-3.2803962290433972,3.0440270970141885,4.023552556738776
75,3.8547595936069756,2.366887631234719,0.9949748175972428,-0.07552335818011735,0.8879771532733329,0.7747988304893763,15404399686.14122,46254672468.52577,33629888371.73994,10.570417425807213,7.6226017984433785,10.305412230725604,-1.1136371980691049,0.3183608918799553,2.03376625984429
76,0.5769684513638385,0.44911461382567797,1.6801814994752333,-0.4194813580986094,0.9291432159002428,0.32400687609438794,27828479032.129875,17452731396.754257,42986444621.696556,2.6948460160634657,3.9357022118820364,3.1903514303028873,0.463043539514324,-1.2100731763365387,0.6212132069998905
77,1.0983782125828156,3.7291225415498426,1.6924143190902123,-0.6200909973445428,-0.17501134042547606,-0.3172943276803941,10465855355.652435,40366015931.992615,11000526349.989532,-1.393617097656361,1.0968450691066496,-1.7721073293664922,0.3629295469815631,-0.2633809317982232,-0.9282671376589269
78,0.2718821646871,3.5206494275492277,2.9855645250264793,-0.640248773715218,0.930801003641242,-0.0844864193993462,29930692298.950214,47831853091.4616,36765834183.17054,4.046068490841423,5.059583604842216,3.963435939326779,3.8320253589868623,-1.1191033306029874,-1.0584215624711315
79,2.012830662190432,4.016989443199614,3.1992459769714627,0.23052118140920674,-0.006542278514103161,0.8585929419913014,40549812311.00654,48286441491.51928,33317962358.074844,5.6954193726056985,6.97731282938596,5.723733585799315,-2.919290638283116,2.128015608998697,1.598556367512566
80,1.6433666998002638,4.7724220166485125,2.381978055896826,-0.510292967048086,-0.3142204493435037,-0.13416019086408437,15590003235.016798,24950639822.676453,11570168372.40147,-0.9993421636706237,-0.02255561118041617,1.2895425164847205,0.7513584206209609,-0.6045167639284686,-1.208135091506362
81,1.1966304291004954,2.4988935468385436,1.6853292428594253,-0.9119584812610257,-0.695008057087301,0.6657914756964205,41309826290.58514,21254932140.370625,16256188916.604906,-2.982465439484365,-4.403337599163752,-4.273967660242539,-0.4674503568624976,-1.573530940696101,0.684885180426528
82,2.332409860599778,1.3678956241183893,3.2437899036133295,-0.3155206017481105,0.671619794505353,0.12247043956236459,31708756290.785915,21538193896.24711,45163230056.5088,3.9499544879853703,3.677594496248128,3.2190275200030096,-2.9495935659391255,2.873136484491029,0.921936826128768
83,1.282266967877449,2.524584502858991,0.9358954298682476,-0.24560475661090497,0.6374833119401693,0.6924611714209579,39017756537.27048,32201818863.682125,42205697634.593735,5.572768453565158,4.3339012357736895,5.106915018220395,0.6714199658719334,-0.33032932577208474,0.5831176380701601
